id,data_inversa,uf,br,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,condicao_metereologica,tipo_pista,uso_solo,idade,sexo
597938,18/10/2009,RN,406,CEARA-MIRIM,Falta de atenção,Colisão lateral,Com Vítimas Feridas,Pleno dia,Ceu Claro,Simples ,Rural ,42.0,Masculino
597938,18/10/2009,RN,406,CEARA-MIRIM,Falta de atenção,Colisão lateral,Com Vítimas Feridas,Pleno dia,Ceu Claro,Simples ,Rural ,29.0,Masculino
597938,18/10/2009,RN,406,CEARA-MIRIM,Falta de atenção,Colisão lateral,Com Vítimas Feridas,Pleno dia,Ceu Claro,Simples ,Rural ,19.0,Masculino
597938,18/10/2009,RN,406,CEARA-MIRIM,Falta de atenção,Colisão lateral,Com Vítimas Feridas,Pleno dia,Ceu Claro,Simples ,Rural ,27.0,Masculino
597968,18/10/2009,RN,304,MOSSORO,Outras,Colisão com objeto fixo,Com Vítimas Feridas,Pleno dia,Ceu Claro,Simples ,Urbano,26.0,Masculino
597968,18/10/2009,RN,304,MOSSORO,Outras,Colisão com objeto fixo,Com Vítimas Feridas,Pleno dia,Ceu Claro,Simples ,Urbano,42.0,Masculino
598071,18/10/2009,RN,226,TANGARA,Outras,Colisão lateral,Com Vítimas Fatais ,Plena noite,Ceu Claro,Simples ,Rural ,58.0,Masculino
598071,18/10/2009,RN,226,TANGARA,Outras,Colisão lateral,Com Vítimas Fatais ,Plena noite,Ceu Claro,Simples ,Rural ,52.0,Masculino
598071,18/10/2009,RN,226,TANGARA,Outras,Colisão lateral,Com Vítimas Fatais ,Plena noite,Ceu Claro,Simples ,Rural ,44.0,Feminino
598107,18/10/2009,RN,101,SAO JOSE DE MIPIBU,Defeito na via,Colisão com objeto fixo,Sem Vítimas        ,Plena noite,Ceu Claro,Simples ,Urbano,53.0,Masculino
598154,15/10/2009,RN,406,JOAO CAMARA,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Simples ,Rural ,47.0,Masculino
598154,15/10/2009,RN,406,JOAO CAMARA,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Simples ,Rural ,33.0,Masculino
598159,21/09/2009,RN,101,PARNAMIRIM,Desobediência à sinalização,Colisão Transversal,Com Vítimas Feridas,Plena noite,Ceu Claro,Dupla   ,Urbano,31.0,Feminino
598159,21/09/2009,RN,101,PARNAMIRIM,Desobediência à sinalização,Colisão Transversal,Com Vítimas Feridas,Plena noite,Ceu Claro,Dupla   ,Urbano,28.0,Feminino
598187,19/10/2009,RN,304,PEDRO AVELINO,Outras,Colisão com objeto fixo,Sem Vítimas        ,Pleno dia,Sol,Simples ,Rural ,67.0,Feminino
598230,16/10/2009,RN,101,SAO GONCALO DO AMARANTE,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,50.0,Masculino
598230,16/10/2009,RN,101,SAO GONCALO DO AMARANTE,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,28.0,Masculino
598263,07/10/2009,RN,304,ASSU,Defeito mecânico em veículo,Saída de Pista,Sem Vítimas        ,Pleno dia,Ceu Claro,Simples ,Rural ,-1.0,Masculino
