id,data_inversa,uf,br,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,condicao_metereologica,tipo_pista,uso_solo,tipo_veiculo,estado_fisico,idade,sexo
1131203,29/06/2012,RN,101,NATAL,Defeito mecânico em veículo,Colisão traseira,Sem Vítimas        ,Pleno dia,Chuva,Dupla   ,Urbano,Automóvel,Ileso       ,-1.0,Feminino
1131203,29/06/2012,RN,101,NATAL,Defeito mecânico em veículo,Colisão traseira,Sem Vítimas        ,Pleno dia,Chuva,Dupla   ,Urbano,Automóvel,Ileso       ,27.0,Masculino
1131263,28/06/2012,RN,101,NATAL,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Plena noite,Ceu Claro,Múltipla,Urbano,Automóvel,Ileso       ,19.0,Feminino
1131263,28/06/2012,RN,101,NATAL,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Plena noite,Ceu Claro,Múltipla,Urbano,Automóvel,Ileso       ,36.0,Masculino
1131263,28/06/2012,RN,101,NATAL,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Plena noite,Ceu Claro,Múltipla,Urbano,Automóvel,Ileso       ,-1.0,Masculino
1131329,29/06/2012,RN,304,ASSU,Desobediência à sinalização,Colisão Transversal,Com Vítimas Feridas,Anoitecer,Ceu Claro,Simples ,Rural ,Automóvel,Ignorado    ,-1.0,Inválido
1131329,29/06/2012,RN,304,ASSU,Desobediência à sinalização,Colisão Transversal,Com Vítimas Feridas,Anoitecer,Ceu Claro,Simples ,Rural ,Motocicletas,Ferido Grave,26.0,Masculino
1131359,29/06/2012,RN,110,MOSSORO,Outras,Colisão Transversal,Com Vítimas Feridas,Pleno dia,Sol,Múltipla,Urbano,Motocicletas,Ferido Leve ,22.0,Masculino
1131359,29/06/2012,RN,110,MOSSORO,Outras,Colisão Transversal,Com Vítimas Feridas,Pleno dia,Sol,Múltipla,Urbano,Motocicletas,Ignorado    ,-1.0,Inválido
1131445,29/06/2012,RN,101,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas        ,Plena noite,Ceu Claro,Múltipla,Urbano,Automóvel,Ileso       ,31.0,Feminino
1131445,29/06/2012,RN,101,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas        ,Plena noite,Ceu Claro,Múltipla,Urbano,Automóvel,Ileso       ,29.0,Masculino
1131555,26/06/2012,RN,101,SAO GONCALO DO AMARANTE,Ingestão de álcool,Colisão com objeto fixo,Sem Vítimas        ,Plena noite,Ceu Claro,Dupla   ,Rural ,Automóvel,Ileso       ,46.0,Masculino
1131704,30/06/2012,RN,304,MACAIBA,Outras,Colisão lateral,Sem Vítimas        ,Pleno dia,Sol,Simples ,Rural ,Caminhonete,Ileso       ,36.0,Masculino
1131704,30/06/2012,RN,304,MACAIBA,Outras,Colisão lateral,Sem Vítimas        ,Pleno dia,Sol,Simples ,Rural ,Automóvel,Ileso       ,21.0,Masculino
