id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,ano,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos
253192,14/07/2007,Sábado,18:30:00,RN,101,66.5,CEARA-MIRIM,Desobediência à sinalização,Colisão Transversal,Sem Vítimas,Plena noite,Crescente,Ceu Claro,Dupla,Cruzamento,Rural,2007,2,0,0,0,2,0,0,2
253208,10/07/2007,Terça,14:30:00,RN,101,97,NATAL,Falta de atenção,Colisão lateral,Sem Vítimas,Pleno dia,Decrescente,Sol,Dupla,Reta,Urbano,2007,2,0,0,0,2,0,0,2
253230,14/07/2007,Sábado,17:30:00,RN,304,26,MOSSORO,Falta de atenção,Colisão com objeto fixo,Sem Vítimas,Anoitecer,Crescente,Ceu Claro,Simples,Reta,Rural,2007,1,0,0,0,1,0,0,1
253313,15/07/2007,Domingo,09:40:00,RN,101,109.8,PARNAMIRIM,Falta de atenção,Colisão Transversal,Sem Vítimas,Pleno dia,Decrescente,Ceu Claro,Simples,Reta,Rural,2007,2,0,0,0,2,0,0,2
253316,15/07/2007,Domingo,07:10:00,RN,304,2.8,MOSSORO,Ingestão de álcool,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Ceu Claro,Simples,Reta,Rural,2007,2,0,1,0,1,0,1,2
253360,15/07/2007,Domingo,13:40:00,RN,101,123.5,SAO JOSE DE MIPIBU,Falta de atenção,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Nublado,Simples,Reta,Urbano,2007,2,0,0,0,2,0,0,2
253398,15/07/2007,Domingo,15:10:00,RN,101,101.8,PARNAMIRIM,Ingestão de álcool,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Ceu Claro,Dupla,Cruzamento,Urbano,2007,3,0,0,0,3,0,0,3
253559,16/07/2007,Segunda,01:25:00,RN,110,48.6,MOSSORO,Ingestão de álcool,Colisão lateral,Com Vítimas Feridas,Plena noite,Decrescente,Ceu Claro,Dupla,Reta,Urbano,2007,3,0,1,0,2,0,1,2
253805,16/07/2007,Segunda,07:50:00,RN,101,108.5,PARNAMIRIM,Falta de atenção,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Ceu Claro,Dupla,Reta,Urbano,2007,2,0,0,0,2,0,0,2
253844,16/07/2007,Segunda,10:30:00,RN,101,97.4,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Ceu Claro,Dupla,Reta,Urbano,2007,2,0,0,0,1,1,0,2
253882,16/07/2007,Segunda,09:40:00,RN,101,107,PARNAMIRIM,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Ceu Claro,Dupla,Cruzamento,Urbano,2007,2,0,0,0,2,0,0,2
253943,16/07/2007,Segunda,14:58:00,RN,101,97,NATAL,Outras,Colisão lateral,Sem Vítimas,Pleno dia,Decrescente,Ceu Claro,Dupla,Reta,Urbano,2007,2,0,0,0,2,0,0,2
253955,16/07/2007,Segunda,09:35:00,RN,101,116.4,SAO JOSE DE MIPIBU,Outras,Colisão Transversal,Sem Vítimas,Pleno dia,Crescente,Sol,Simples,Cruzamento,Rural,2007,2,0,0,0,2,0,0,2
253990,16/07/2007,Segunda,06:50:00,RN,304,283.1,MACAIBA,Defeito na via,Colisão traseira,Sem Vítimas,Amanhecer,Decrescente,Ceu Claro,Simples,Reta,Urbano,2007,2,0,0,0,2,0,0,2
253995,16/07/2007,Segunda,17:20:00,RN,101,105.6,PARNAMIRIM,Outras,Colisão lateral,Com Vítimas Feridas,Anoitecer,Decrescente,Ceu Claro,Dupla,Reta,Urbano,2007,2,0,1,0,1,0,1,2
